gene name	list of shared diseases
CTAGE12P	"Enteritis;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Multiple Myeloma;Gangrene;Chondrocalcinosis;"
C6orf129	"Disorders of other cranial nerves;""Hyperparathyroidism, Secondary"";""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Astigmatism;Sunburn;Cardiac Conduction Defect;Periodontitis;""Amino Acid Transport Disorders, Inborn"";Alopecia Areata;"
MYO1D	"Sexually Transmitted Diseases;Osteitis Deformans;Hearing Loss;Anxiety Disorders;Umbilical cord ulceration and intestinal atresia;Paget Disease Of Bone 4;""Hypertension, Pregnancy-Induced"";Cardiomyopathies;"
CD33	"Reflex, Abnormal;Intracranial Hemorrhages;Autonomic Nervous System Diseases;Esophageal Neoplasms;Sleep disorders;Vitamin D Deficiency;Dislocations;Alopecia;Uterine Cervical Diseases;""Amino Acid Transport Disorders, Inborn"";Hyperventilation;""Lupus Erythematosus, Discoid"";Skin Neoplasms;Adenocarcinoma in Situ;""Heart Failure, Systolic"";Anxiety Disorders;Chronic Disease;"
RNF44	Chronic Disease;Drug Resistant Epilepsy;Hepatitis C;Gastrointestinal Diseases;Hallucinations;Leg Length Inequality;
MSRB3	"Diabetes Mellitus, Type 1;Thrombocytopenia;"
PC	"Dermatomycoses;Hemorrhagic Septicemia;""Hepatitis, Viral, Human"";Temporomandibular Joint Disorders;Asthma;Pulmonary Fibrosis;Chronic Disease;"
RNF43	Odontoma dysphagia syndrome;Optic Neuritis;Diaphragmatic Hernia;
G6PC2	"Glucose Intolerance;""Cardiac Arrhythmia, Ankyrin-B-Related"";Vitamin D Deficiency;Emphysema;Hypercalcemia;Chronic Disease;""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";Cellulitis;Keratoconjunctivitis Sicca;""Diabetes Mellitus, Type 7"";""Diabetes Mellitus, Type 6"";""Diabetes Mellitus, Type 4"";Corneal Opacity;"
HDAC11	"Hypovolemia;Hypotension;Chronic Disease;Lung Neoplasms;Irritable Bowel Syndrome;Urethral Stricture;Temporomandibular Joint Disorders;Arthralgia;""Diabetes Mellitus, Type 6"";"
CALM2	Tuberculosis;Sprains and Strains;Vitamin B Deficiency;Celiac Disease;
BNC2	"Keratosis, Actinic;""Aplastic anemia, idiopathic"";""Keratosis, Seborrheic"";Periodontitis;Diverticulosis;Tuberculosis;Colles' Fracture;Migraine with Aura;Diverticulitis;"
DARC	"Neoplasms, Connective Tissue;Restless Legs Syndrome;Trigeminal Nerve Diseases;Raynaud Disease;Hallucinations;Upper Extremity Deep Vein Thrombosis;Anisometropia;Chronic Disease;Nasal Polyps;Colles' Fracture;Tauopathy and Respiratory Failure;Herpes Simplex;"
PKNOX1	"Fasciitis;""Diabetes Mellitus, Type 5"";Leg Length Inequality;Dental Caries;Stomach Diseases;Dyspepsia;Chronic Disease;Pediatric ulcerative colitis;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Aortic Aneurysm;Intervertebral Disc Displacement;Nasal Polyps;Heart Valve Diseases;""Renal Failure, Progressive, with Hypertension"";"
OPTN	"Hyperparathyroidism, Secondary;Proteinuria;Sclerosis;""Diabetes Mellitus, Type 5"";Myopia;Optic Atrophy;"
ACTN1	"Gout;Cachexia;Esophageal Neoplasms;Periostitis;Chronic Disease;""Granuloma, Pyogenic"";Cellulitis;Muscle Weakness;"
PPAP2B	"Retinal Detachment;""Tachycardia, Sinoatrial Nodal Reentry"";Otitis Media;Alcoholism;"
HCG9	"Sleep Apnea Syndromes;""Rheumatoid Arthritis, Systemic Juvenile"";Retinal Detachment;Hematuria;Hidradenitis;Warts;Prurigo;""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";Cystitis;Atrial Fibrillation;Herpes Zoster;Obesity;Atrial Flutter;""Diabetes Mellitus, Type 3"";Polyarteritis Nodosa;"
CDH1	Menstruation Disturbances;Schizoid Personality Disorder;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Strabismus;Water-Electrolyte Imbalance;Urinary Bladder Neoplasms;Respiratory System Abnormalities;Constipation;
AHRR	Pancreatitis;Brain Concussion;Neck Pain;Cholesteatoma;Otitis Media;Testicular Hydrocele;Bursitis;Tobacco Use Disorder;
IFI27L1	Peptic Ulcer;Cholesteatoma;Complex Regional Pain Syndromes;Torticollis;
ITLN1	"Diabetes Mellitus, Type 6;Cholecystitis;Myocardial Infarction;Back Pain;Prurigo;Nephrotic Syndrome;Cholelithiasis;"
TNFSF11	"Intervertebral disc disease;Liver Diseases;""Lupus Erythematosus, Systemic"";Intervertebral Disc Displacement;""Lupus Erythematosus, Discoid"";Corneal dystrophy and perceptive deafness;""Hyperparathyroidism, Secondary"";Temporomandibular Joint Disorders;Corneal Diseases;Facial Nerve Diseases;Astigmatism;Torticollis;Gout;Hypertension;Skin Neoplasms;Lyme Disease;Vitamin B 12 Deficiency;Varicose Veins;""Tooth Eruption, Ectopic"";"
NAV3	"Hepatitis, Viral, Human;""Diabetes Mellitus, Type 4"";""Diabetes Mellitus, Type 6"";"
GPR133	Failure to Thrive;Heart Diseases;Bundle-Branch Block;Bacterial Infections;Enteritis;
ZNF827	Otitis Media;Anxiety Disorders;Migraine with Aura;Adjustment Disorders;Cellulitis;Chronic Disease;
NAA25	"Insect Bites and Stings;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Hypothyroidism;Retinoschisis;Myopia;Ventricular Flutter;Eye Neoplasms;""Diabetes Mellitus, Type 4"";""Diabetes Mellitus, Type 1"";Aortic Aneurysm;Chronic Disease;Peripheral Arterial Disease;Endometriosis;Mastodynia;""Insomnia, Fatal Familial"";Atherosclerosis;Major Depressive Disorder;""Genital Neoplasms, Female"";Intracranial Hemorrhages;"
MGC34034	"Cavernous Malformations of CNS and Retina;Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency;""Dermatitis, Seborrheic"";Hodgkin Disease;Osteoarthritis;Digestive System Diseases;Hemoptysis;"
MCTP2	"Spondylolisthesis;Brain Neoplasms;""Abnormalities, Radiation-Induced"";Pityriasis;Skin Neoplasms;"
RFX6	"Glucose Intolerance;Asthma;Bronchitis;Stomach Neoplasms;Hallux Valgus;Feeding and Eating Disorders;Duodenal Ulcer;Chronic Disease;Erectile Dysfunction;""Prostate cancer, familial"";Tauopathy and Respiratory Failure;Tuberculosis;Glaucoma;"
IREB2	"Rheumatoid Arthritis, Systemic Juvenile;""Genital Neoplasms, Female"";Pneumonia;Delirium;Urinary Bladder Neoplasms;"
DAB2IP	Sprains and Strains;Disorders of other cranial nerves;Presenile And Senile Dementia;Pancreatitis;Facial Nerve Diseases;Periapical Diseases;Hyperbilirubinemia;Diverticulitis;Hyperthyroidism;
FAM55B	Chronic Disease;Multiple Myeloma;Acidosis;Mycoses;Peptic Ulcer;
DPEP3	"Constipation;""Amino Acid Transport Disorders, Inborn"";""Child Development Disorders, Pervasive"";""Prader-Willi habitus, osteopenia, and camptodactyly"";"
APOA5	"Gout;Chronic Disease;Sweat Gland Diseases;Osteomyelitis;""Pneumonia, Bacterial"";""Diabetes Mellitus, Type 4"";Respiratory Insufficiency;Hypertensive Retinopathy;Bacterial Infections;Obsessive-Compulsive Disorder;"
COL4A2	"Scoliosis;Gangrene;Thyroid cancer;Fasciitis;""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";"
RNF149	Eye Infections;Glomerulonephritis;
TTR	"Syncope;Trigeminal Nerve Diseases;Sepsis;Alopecia;Cystitis;""Goiter, Multinodular "";"
BOK	Diverticulitis;Bundle-Branch Block;Paranoid Disorders;Chronic Disease;Celiac Disease;Bacterial Infections;
ABCB11	"Brain Concussion;Essential Tremor;Cellulitis;Hypertension;""Diabetes Mellitus, Type 5"";Peripheral Vascular Diseases;Prostatitis;Chronic Disease;Diaphragmatic Hernia;Blindness;Intracranial Hemorrhages;Mycoses;"
C20orf132	"Labyrinthitis;Lymphadenitis;""Larynx, Congenital Partial Atresia of"";"
FAIM2	"Gastroenteritis;Umbilical cord ulceration and intestinal atresia;Osteoporosis;Eye Neoplasms;""Prostate cancer, familial"";Cachexia;""Diabetes Mellitus, Type 3"";""Laryngeal Atresia, Encephalocele, and Limb Deformities"";"
HERC2	"Keratosis, Actinic;Fever of Unknown Origin;Skin Neoplasms;Sunburn;Otitis Media;Iron-Refractory Iron Deficiency Anemia;Sebaceous Gland Diseases;Digestive System Neoplasms;"
COL25A1	"Diaphragmatic Hernia;""Acromegaloid features, overgrowth, cleft palate, and hernia"";Blindness;"
COL27A1	"Seborrhea-Like Dermatitis with Psoriasiform Elements;Osteoporosis;""Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality"";""Granuloma, Pyogenic"";Brain Concussion;"
STMN2	"Chronic Disease;""Dermatitis, Seborrheic"";Sepsis;Ascites;"
MITF	"Adjustment Disorders;Sleep disorders;Restless Legs Syndrome;Iron-Refractory Iron Deficiency Anemia;Shock;Alkalosis;Schizoid Personality Disorder;""Gait Disorders, Neurologic"";Heart Failure;Familial Acute Myeloid Leukemia with Mutated Cebpa;"
DOK2	"Muscle Weakness;Dislocations;Thrombocytopenia;Respiratory Insufficiency;Liver Abscess;Intracranial Hemorrhages;""Prader-Willi habitus, osteopenia, and camptodactyly"";Herpes Zoster;Sweat Gland Diseases;""Hernia, Femoral"";Eye Neoplasms;Wandering Spleen;"
HELQ	Pruritus;Hyperlipidemias;Respiratory System Abnormalities;Otitis Externa;Tricuspid Valve Insufficiency;Gastrointestinal Diseases;Hypothyroidism;Iron Metabolism Disorders;Hypoparathyroidism;Schizophrenia;Autonomic Nervous System Diseases;Endometrial Hyperplasia;
ANKRD6	"Dermatomycoses;Delirium;""Phobia, Specific"";"
ADAM18	Iron-Refractory Iron Deficiency Anemia;Chronic Disease;Jaundice;Cholecystitis;Melanoma;Linear IgA Bullous Dermatosis;
IRF8	"Hyperbilirubinemia;Fasciitis;Duodenal Ulcer;""Lupus Erythematosus, Discoid"";Out-of-Hospital Cardiac Arrest;""Phobia, Specific"";Subarachnoid Hemorrhage;""Glaucoma, Primary Open Angle"";Cardiac Conduction Defect;Psoriasis;""Lupus Erythematosus, Systemic"";Chronic Disease;Tauopathy and Respiratory Failure;"
PRF1	Nasal Polyps;Chronic Disease;Cellulitis;Periodontitis;Colles' Fracture;Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency;Lung Neoplasms;
TNFSF14	"Chronic Disease;""Keratosis, Actinic"";Sunburn;Amblyopia;Hammer Toe Syndrome;""Foot Deformities, Acquired"";Keratoconjunctivitis Sicca;Hearing Loss;Dermatomycoses;"
FHDC1	Spinal Curvatures;Neutropenia;Scoliosis;Bundle-Branch Block;Chronic Disease;
TBC1D4	Dermatomycoses;Nervous System Diseases;Endocarditis;Hidradenitis;Glossitis;Thrombocytopenia;
IRF1	"Bursitis;""Renal Failure, Progressive, with Hypertension"";Breast Neoplasms;Chronic Disease;Drug Resistant Epilepsy;Dysmenorrhea;Migraine Disorders;"
BAI3	"Fasciitis;Cholecystitis;Hypercholesterolemia;""Deafness, Conductive, with Malformed External Ear"";Hyperlipidemias;Hypertension;Sensation Disorders;Hypoparathyroidism;""Parathyroid Glands, Agenesis Of"";Varicose Veins;"
FAM91A1	"Lipoma;Breast Neoplasms;Osteomyelitis;""Lupus Erythematosus, Discoid"";""Lupus Erythematosus, Systemic"";Renal Osteodystrophy;Urinary Bladder Neoplasms;Arthralgia;Hematemesis;Chronic Disease;""Gastritis, Atrophic"";""Genital Neoplasms, Female"";Sleep disorders;"
FCGR2A	"Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress;Esophagitis;Duodenitis;Cellulitis;Otitis Externa;"
FASTKD2	"Lymphadenitis;""Menopause, Premature"";Dyspepsia;Chronic Disease;Odontoma dysphagia syndrome;Menstruation Disturbances;Stomach Diseases;Urticaria;"
MET	"Keratoconjunctivitis Sicca;Nervous System Diseases;Retinal Detachment;""Lower Extremity Deformities, Congenital"";"
SUSD1	"Keratitis;Dyspareunia;Periodontitis;Paget Disease Of Bone 4;Abdominal pain;Ovarian Diseases;""Child Development Disorders, Pervasive"";Hammer Toe Syndrome;"
COL5A1	Chronic Disease;Sprains and Strains;Mastodynia;
LOC100132354	Mink Viral Enteritis;Tympanic Membrane Perforation;Brain Concussion;Atrial Fibrillation;Atrial Flutter;
LAMA5	Colonic Neoplasms;Stillbirth;
LINC00340	Osteitis Deformans;Arthralgia;Intracranial Hemorrhages;Heart Septal Defects;Mastodynia;Leg Length Inequality;Nervous System Diseases;Upper Extremity Deep Vein Thrombosis;Gastrointestinal Diseases;Obesity;Cholecystitis;Glomerulonephritis;Thrombocytopenia;Purpura;Chronic Disease;
LEKR1	"Uterine Neoplasms;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Lupus Erythematosus, Discoid"";""Goiter, Multinodular "";"
GFOD2	"Psoriasis;Optic Atrophy;""Child Development Disorders, Pervasive"";"
AIRE	Renal Osteodystrophy;Hearing Loss;Pediatric ulcerative colitis;
OPA3	"Abdominal pain;""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";Speech Disorders;Esophageal Atresia;Rheumatic Fever;Shock;"
LHFPL3	Pelvic Inflammatory Disease;Cholecystitis;Ascites;Wandering Spleen;Esophagitis;
DNM1	"Optic Neuritis;Pleurisy;Spondylosis;""Aplastic anemia, idiopathic"";Hypoparathyroidism;Hyperthyroidism;""Tooth Eruption, Ectopic"";Sinusitis;"
PLA2R1	"Renal Failure, Progressive, with Hypertension;""Cardiac Arrhythmia, Ankyrin-B-Related"";Cerebrovascular Disorders;""Dermatitis, Seborrheic"";Endocarditis;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Neck Pain;"
B3GNT2	Cellulitis;Crohn Disease;Bile Duct Diseases;Myelodysplastic-Myeloproliferative Diseases;Tuberculosis;
CCR6	"Breast Neoplasms;Alopecia Areata;Iron Metabolism Disorders;Hereditary Breast and Ovarian Cancer Syndrome;Familial Acute Myeloid Leukemia with Mutated Cebpa;Sacroiliitis;""Genital Neoplasms, Female"";""Keratosis, Actinic"";Fasciitis;Cholesteatoma;"
IL11	Hypertensive Retinopathy;Dermatomycoses;Retinal Diseases;Memory Disorders;Atrophic Vaginitis;Gastroparesis;Aphasia;Testicular Hydrocele;Mental Disorders;Gastrointestinal Diseases;
C2orf86	"Sacroiliitis;Mink Viral Enteritis;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Feeding and Eating Disorders;Gastrointestinal Diseases;"
SPRY4	"Heart Septal Defects;""Tachycardia, Sinoatrial Nodal Reentry"";Lipoma;Osteomyelitis;""Gastritis, Atrophic"";Retinal Detachment;Trigeminal Nerve Diseases;Complex Regional Pain Syndromes;"
MCCC1	"Breast Neoplasms;Hypothyroidism;""Fractures, Stress"";""Heart Failure, Systolic"";""Goiter, Multinodular "";Intervertebral disc disease;Heart Failure;Osteomyelitis;Postoperative Nausea and Vomiting;"
SPRY2	"Aortic Aneurysm;Melanoma;Uveitis;Sleep disorders;Spondylolisthesis;Failure to Thrive;Chronic Disease;Pityriasis;""Prostate cancer, familial"";Bursitis;Jaw Diseases;Hereditary Breast and Ovarian Cancer Syndrome;"
HFE	"Iron Metabolism Disorders;Uterine Cervical Diseases;Eosinophilia;Skin Neoplasms;Torticollis;Sweat Gland Diseases;Iron-Refractory Iron Deficiency Anemia;Sebaceous Gland Diseases;Cavernous Malformations of CNS and Retina;""Adrenocortical Hypofunction, Chronic Primary Congenital"";Retinoschisis;"
IL5	Labyrinthitis;Breast Neoplasms;Cellulitis;
RUNX3	"Psoriasis;Diverticulosis;""Sleep Apnea, Central"";Otosclerosis;Macular Degeneration;Pericarditis;Glycosuria;""Renal Failure, Progressive, with Hypertension"";Retinal Diseases;Choroid Diseases;Glucose Intolerance;"
KCNQ1	"Hypoparathyroidism;Respiratory System Abnormalities;""Larynx, Congenital Partial Atresia of"";Cardiomegaly;Bone Neoplasms;Urinary Bladder Neoplasms;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Abnormalities, Radiation-Induced"";Airway Obstruction;Hemoptysis;Cardiomyopathies;Hammer Toe Syndrome;Chronic Disease;Bacteremia;Nail Diseases;Liver Abscess;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";Thrombocytopenia;Apnea;Shock;Alopecia;Hypocalcemia;Pneumoconiosis;Gastrointestinal Diseases;Rheumatic Fever;Esophageal Atresia;Heart Failure;""Alveolitis, Extrinsic Allergic"";Contracture;Herpes Zoster;Familial Acute Myeloid Leukemia with Mutated Cebpa;"
MAX	"Enteritis;Hereditary Breast and Ovarian Cancer Syndrome;""Genital Neoplasms, Female"";Brain Neoplasms;Tympanic Membrane Perforation;Bone Neoplasms;Anorexia;"
SPTLC3	"Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease;Proteinuria;Hypoparathyroidism;Atherosclerosis;Stillbirth;""Keratosis, Seborrheic"";Chronic Disease;"
VKORC1	"Pancytopenia;""Aplastic anemia, idiopathic"";Familial Acute Myeloid Leukemia with Mutated Cebpa;Pleurisy;Subarachnoid Hemorrhage;Liver Abscess;Pelvic Inflammatory Disease;"
PAX2	"Granuloma, Pyogenic;"
CRIM1	"Pharyngitis;""Acne, Adult"";Bronchitis;Sprains and Strains;Borderline Personality Disorder;""Fractures, Stress"";Umbilical cord ulceration and intestinal atresia;Mouth Neoplasms;Esophageal Atresia;Keratoconjunctivitis Sicca;Erectile Dysfunction;Hyperbilirubinemia;""Diabetes Mellitus, Type 3"";"
KCNJ2	"Corneal Dystrophy, Fuchs Endothelial, 3;Liver Diseases;Eye Neoplasms;"
VPS41	"Duodenal Ulcer;Hypocalcemia;""Parathyroid Glands, Agenesis Of"";Brain Neoplasms;Hyperparathyroidism;"
TSEN2	"Mycoses;""Carbohydrate Metabolism, Inborn Errors"";Chronic Disease;Sexual and Gender Disorders;""Diabetes Mellitus, Type 6"";Glomerulonephritis;Keratitis;Pelvic Inflammatory Disease;""Diabetes Mellitus, Type 4"";""Corneal Degeneration, Ribbonlike, with Deafness"";Pediatric ulcerative colitis;Sensation Disorders;"
LPP	"Hematuria;Skin Neoplasms;Hyperthyroidism;Bundle-Branch Block;Cavernous Malformations of CNS and Retina;Endometriosis;""Lower Extremity Deformities, Congenital"";Ventricular Flutter;Pleurisy;"
TRIM4	Polymyalgia Rheumatica;Urinary Bladder Neoplasms;Periapical Diseases;
NFATC4	Asthma;Iron-Refractory Iron Deficiency Anemia;Alcoholism;Alcohol-Related Disorders;
ANGPTL6	"Basal Ganglia Cerebrovascular Disease;Uterine Cervical Neoplasms;Thyroiditis;Rosacea;Speech Disorders;Amblyopia;""Hernia, Femoral"";"
APOL1	Sleep disorders;Iatrogenic Disease;Restless Legs Syndrome;Airway Obstruction;Proteinuria;
KCNH2	"Spondylosis;Chronic Disease;Iatrogenic Disease;""Influenza, Human"";""Goiter, Multinodular "";Nail Diseases;"
UPP2	Hallux Valgus;Cellulitis;Purpura;
MSH5	"Celiac Disease;""Diabetes Mellitus, Type 4"";""Diabetes Mellitus, Type 2"";""Lupus Erythematosus, Discoid"";""Diabetes Mellitus, Type 6"";Thyrotoxicosis;Prostatitis;Rosacea;""Lupus Erythematosus, Systemic"";Linear IgA Bullous Dermatosis;""Diabetes Mellitus, Type 1"";""Fractures, Stress"";Varicose Veins;""Deafness, Conductive, with Malformed External Ear"";Autonomic Nervous System Diseases;Pneumoconiosis;""Diabetes Mellitus, Type 5"";Sarcoidosis;Hyperlipidemias;Lymphadenitis;Hematuria;Retinoschisis;Graves Disease;Diabetic Retinopathy;Atrophic Vaginitis;""Prader-Willi habitus, osteopenia, and camptodactyly"";Hypothyroidism;"
MEX3B	Hypotension;Purpura;Hyperthyroidism;Herpes Simplex;Candidiasis;Hearing Loss;
EOMES	Hepatomegaly;Hypotension;Intervertebral disc disease;
ZNF767	"Parathyroid Glands, Agenesis Of;Hyperparathyroidism;Hypercalcemia;Bursitis;""Pneumonia, Viral"";""Foot Deformities, Acquired"";"
CHRDL1	Intervertebral Disc Degeneration;Intervertebral disc disease;Duodenal Ulcer;Hemorrhoids;Somatoform Disorders;Adjustment Disorders;
DYM	Intracranial Hemorrhages;Spinal Stenosis;
FTO	"Diabetes mellitus;""Diabetes Mellitus, Type 2"";Shock;""Diabetes Mellitus, Type 3"";Fever of Unknown Origin;Alcoholism;Gingivitis;""Goiter, Multinodular "";Disorders of other cranial nerves;Trigeminal Nerve Diseases;""Cardiomyopathy, Dilated"";""Diabetes Mellitus, Type 5"";Aortic Aneurysm;Out-of-Hospital Cardiac Arrest;Hemorrhagic Septicemia;Obesity;Retinal Hemorrhage;Gestational Diabetes Insipidus;Chronic Disease;Hypertension;Cardiomyopathies;""Diabetes Mellitus, Type 4"";Overweight;"
ETS1	"Uterine Cervical Neoplasms;Cervical Intraepithelial Neoplasia;Hematuria;Hypertension;Hypoventilation;Basal Ganglia Cerebrovascular Disease;""Dermatitis, Seborrheic"";Brain Neoplasms;Enteritis;""Lower Extremity Deformities, Congenital"";Dermatomycoses;Sclerosis;""Larynx, Congenital Partial Atresia of"";Osteoarthritis;Hepatitis C;""Pneumonia, Viral"";"
INO80D	"Speech Disorders;Otitis Media;Bronchiectasis;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
PSMB8	"Vitamin D Deficiency;""Glaucoma 1, Open Angle, A"";""Rheumatoid Arthritis, Systemic Juvenile"";""Child Development Disorders, Pervasive"";Psoriasis;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;""Diabetes Mellitus, Type 4"";Glaucoma;""Diabetes Mellitus, Type 2"";""Diabetes Mellitus, Type 6"";Heartburn;Osteomyelitis;Keratitis;"
